pool_id,title,authors,year,journal,publisher_outlet,publisher_outlet_detail,doi,ebsco_an,ebsco_search_position,in_master,master_article_id,pool_status,gap_reason,pdf_status,examination_status,zotero_key,pdf_path,sort_rank,notes
P0025,From retention to turnover: the paradoxical role of career optimism and the moderating effect of psychological safety.,"Gong, Zhenxing ; Lu, Yue ; Li, Miaomiao",2026,Frontiers in Psychology,Frontiers,Frontiers in Psychology,10.3389/fpsyg.2025.1706367,191167369,112,Y,M0292,in_pool,,downloaded,fully_coded,,review/EBSCO/pdfs/EBSCO_M0292_Gong_2026_From_retention_to_turnover_the_paradoxical_role.pdf,25,ebsco_search_position=112;ebsco_record_range=101-150
P0026,Green human resource management and green supply chain integration: the mediating role of ambidextrous environmental strategy.,"Chang, Yue ; Feng, Taiwen ; Tan, Jianyu ; Xian, Fenggang",2026,International Journal of Human Resource Management,Taylor & Francis,International Journal of Human Resource Management,10.1080/09585192.2026.2672582,193908288,26,Y,M0207,in_pool,,downloaded,not_read,,review/EBSCO/pdfs/EBSCO_M0207_Yue Changa_2026_The_International_Journal_of_Human_Resource_Mana.pdf,26,ebsco_search_position=26;ebsco_record_range=1-50
P0027,Green Transformational Leadership and Value–Action Barrier on Employees' Pro-Environmental Behavior: The Moderating Role of Green Brand Image in Chinese Food Manufacturing Enterprises.,"Zhong, Liqing ; Hahn, Juhee",2026,Behavioral Sciences (2076-328X),MDPI,Behavioral Sciences (2076-328X),10.3390/bs16010071,191221021,6,Y,M0188,in_pool,,downloaded,fully_coded,,review/EBSCO/pdfs/EBSCO_M0188_Liqing Zhong and Juhee Hahn_2026_Green_Transformational_Leadership_and_ValueActio.pdf,27,ebsco_search_position=6;ebsco_record_range=1-50
P0028,Hedonic Beats Utilitarian: Differential Effects of AI Chatbots and AR/VR on Consumer Engagement in E-Commerce.,"Zhang, Qin ; Abdullah, Firdaus",2026,Journal of Theoretical & Applied Electronic Commerce Research,MDPI,Journal of Theoretical & Applied Electronic Commerce Research,10.3390/jtaer21020060,191972039,84,Y,M0265,in_pool,,downloaded,fully_coded,,review/EBSCO/pdfs/EBSCO_M0265_Zhang_2025_Hedonic_Beats_Utilitarian_Differential_Effects_o.pdf,28,ebsco_search_position=84;ebsco_record_range=51-100
P0029,How Machiavellian leadership affects employees' happiness at work: the role of psychological contract breach and coworker exchange.,"Wu, Hao ; Lu, Shuai ; Liu, Anle",2026,Frontiers in Psychology,Frontiers,Frontiers in Psychology,10.3389/fpsyg.2026.1763335,192155082,101,Y,M0281,in_pool,,downloaded,not_read,,review/EBSCO/pdfs/EBSCO_M0281_Wu_2026_How_Machiavellian_leadership_affects_employees_h.pdf,29,ebsco_search_position=101;ebsco_record_range=101-150
P0030,How relationship-oriented behavior influences employee voice-silence conversion in cross-cultural virtual teams: the mediating role of psychological safety.,"Dong, Xuetong ; Xing, Luling",2026,Frontiers in Psychology,Frontiers,Frontiers in Psychology,10.3389/fpsyg.2025.1662897,191321140,110,Y,M0290,in_pool,,downloaded,fully_coded,,review/EBSCO/pdfs/EBSCO_M0290_†_2025_How_relationship-oriented_behavior_influences_em.pdf,30,ebsco_search_position=110;ebsco_record_range=101-150
P0031,How Work Autonomy Enhances Adaptive Performance: The Sequential Role of Job Crafting Towards Strengths and Demands–Abilities Fit in Times of Crisis.,"Lau, Angelika ; Aguirre Reid, Sophia C.",2026,Journal of Change Management,Taylor & Francis,Journal of Change Management,10.1080/14697017.2026.2631400,191830844,77,Y,M0258,in_pool,,downloaded,not_read,,review/EBSCO/pdfs/EBSCO_M0258_Lau_2026_How_Work_Autonomy_Enhances_Adaptive_Performance.pdf,31,ebsco_search_position=77;ebsco_record_range=51-100
P0032,How Workplace Fun Promotes Employees' Innovative Behavior: A Dual Mediation Model.,"Wang, Wenwei ; Tang, Jie",2026,Behavioral Sciences (2076-328X),MDPI,Behavioral Sciences (2076-328X),10.3390/bs16050750,194142894,1,Y,M0183,in_pool,,downloaded,fully_coded,,review/EBSCO/pdfs/EBSCO_M0183_Wang_2026_How_Workplace_Fun_Promotes_Employees_Innovative.pdf,32,ebsco_search_position=1;ebsco_record_range=1-50
P0033,Influencing factors and mediating mechanisms of job crafting in clinical nursing practice.,"Wang, Jia ; Li, Yaru ; Sun, Jiaxin ; Cui, Yajuan ; Su, Mei ; Tang, Peijuan ; Wang, Yanting ; Hu, Yuchong ; Chang, Wenzhong ; Wang, Yanli",2026,Frontiers in Public Health,Frontiers,Frontiers in Public Health,10.3389/fpubh.2025.1711339,190609304,116,Y,M0296,in_pool,,downloaded,fully_coded,,review/EBSCO/pdfs/EBSCO_M0296_Jia Wang_2025_Influencing_factors_and_mediating_mechanisms_of.pdf,33,ebsco_search_position=116;ebsco_record_range=101-150
P0034,Interpersonal satisfaction and classroom silence in Chinese universities: the mediating role of social anxiety.,"Liu, Yuqiang ; Liu, Mengzhu ; Zhang, Siguang",2026,Frontiers in Psychology,Frontiers,Frontiers in Psychology,10.3389/fpsyg.2026.1676791,191321154,109,Y,M0289,in_pool,,downloaded,not_read,,review/EBSCO/pdfs/EBSCO_M0289_Yuqiang Liu_2025_Interpersonal_satisfaction_and_classroom_silence.pdf,34,ebsco_search_position=109;ebsco_record_range=101-150
P0035,Latent Profile Analysis of Family Resilience and Its Associated Factors in Maintenance Hemodialysis Patients: A Cross-Sectional Study.,"Ma, Linlin ; Su, Zhenzhen ; Luo, Yanfang ; Chen, Xueru ; Liu, Kangping ; Liu, Zhimin ; Xia, Fei ; Sun, Renjuan ; Wang, Jiao",2026,Journal of Multidisciplinary Healthcare,NA,Journal of Multidisciplinary Healthcare,10.2147/jmdh.s608329,194260441,64,Y,M0245,in_pool,,downloaded,fully_coded,,review/EBSCO/pdfs/EBSCO_M0245_Linlin Ma_2025_JMDH_A_608329_115.pdf,35,ebsco_search_position=64;ebsco_record_range=51-100
P0036,Leadership avoidance as a rational choice among women instructors in higher education: cross-cultural parallels.,"Ayesha, Benazir ; Wen, Bo ; Li, Yuan ; Ahmed, Fawad",2026,Frontiers in Psychology,Frontiers,Frontiers in Psychology,10.3389/fpsyg.2026.1767636,193247183,68,Y,M0249,in_pool,,downloaded,fully_coded,,review/EBSCO/pdfs/EBSCO_M0249_Benazir Ayesha_2026_Leadership_avoidance_as_a_rational_choice_among.pdf,36,ebsco_search_position=68;ebsco_record_range=51-100
