"study","scenario","true_b2","n","n_reps","cmv_prop","same_source","measurement_key","measurement_profile","measurement_mode","power_X2","type2_rate_X2","type1_rate_X2","mean_b_X2_tmgt","bias_b_X2"
"ambiversion_power","grant_ambivert",-0.14,500,1000,0,TRUE,"unfolding_midrange","Unfolding ideal-point (midrange tau = 0)","unfolding_midrange",0.054,0.946,NA,-0.0235314739557512,0.116468526044249
"ambiversion_power","grant_ambivert",-0.14,500,1000,0.25,TRUE,"unfolding_midrange","Unfolding ideal-point (midrange tau = 0)","unfolding_midrange",0.051,0.949,NA,-0.00833061830547119,0.131669381694529
"ambiversion_power","grant_ambivert",-0.14,500,1000,0.5,TRUE,"unfolding_midrange","Unfolding ideal-point (midrange tau = 0)","unfolding_midrange",0.056,0.944,NA,-0.00497789707482789,0.135022102925172
"ambiversion_power","grant_ambivert",-0.14,750,1000,0,TRUE,"unfolding_midrange","Unfolding ideal-point (midrange tau = 0)","unfolding_midrange",0.078,0.922,NA,-0.0282397072288532,0.111760292771147
"ambiversion_power","grant_ambivert",-0.14,750,1000,0.25,TRUE,"unfolding_midrange","Unfolding ideal-point (midrange tau = 0)","unfolding_midrange",0.063,0.937,NA,-0.00808434689322562,0.131915653106774
"ambiversion_power","grant_ambivert",-0.14,750,1000,0.5,TRUE,"unfolding_midrange","Unfolding ideal-point (midrange tau = 0)","unfolding_midrange",0.054,0.946,NA,-0.00394297093386425,0.136057029066136
"ambiversion_power","grant_ambivert",-0.14,1000,1000,0,TRUE,"unfolding_midrange","Unfolding ideal-point (midrange tau = 0)","unfolding_midrange",0.067,0.933,NA,-0.0270890245859364,0.112910975414064
"ambiversion_power","grant_ambivert",-0.14,1000,1000,0.25,TRUE,"unfolding_midrange","Unfolding ideal-point (midrange tau = 0)","unfolding_midrange",0.08,0.92,NA,-0.00835762799921971,0.13164237200078
"ambiversion_power","grant_ambivert",-0.14,1000,1000,0.5,TRUE,"unfolding_midrange","Unfolding ideal-point (midrange tau = 0)","unfolding_midrange",0.044,0.956,NA,-0.00301489276949043,0.13698510723051
"ambiversion_power","grant_ambivert",-0.14,1500,1000,0,TRUE,"unfolding_midrange","Unfolding ideal-point (midrange tau = 0)","unfolding_midrange",0.084,0.916,NA,-0.0245413410663313,0.115458658933669
"ambiversion_power","grant_ambivert",-0.14,1500,1000,0.25,TRUE,"unfolding_midrange","Unfolding ideal-point (midrange tau = 0)","unfolding_midrange",0.065,0.935,NA,-0.00660436604063321,0.133395633959367
"ambiversion_power","grant_ambivert",-0.14,1500,1000,0.5,TRUE,"unfolding_midrange","Unfolding ideal-point (midrange tau = 0)","unfolding_midrange",0.049,0.951,NA,-0.00333966210201397,0.136660337897986
"ambiversion_power","grant_ambivert",-0.14,2000,1000,0,TRUE,"unfolding_midrange","Unfolding ideal-point (midrange tau = 0)","unfolding_midrange",0.116,0.884,NA,-0.0288373648064231,0.111162635193577
"ambiversion_power","grant_ambivert",-0.14,2000,1000,0.25,TRUE,"unfolding_midrange","Unfolding ideal-point (midrange tau = 0)","unfolding_midrange",0.067,0.933,NA,-0.00838484794620595,0.131615152053794
"ambiversion_power","grant_ambivert",-0.14,2000,1000,0.5,TRUE,"unfolding_midrange","Unfolding ideal-point (midrange tau = 0)","unfolding_midrange",0.057,0.943,NA,-0.00384700670054388,0.136152993299456
"ambiversion_power","grant_ambivert",-0.14,3000,1000,0,TRUE,"unfolding_midrange","Unfolding ideal-point (midrange tau = 0)","unfolding_midrange",0.122,0.878,NA,-0.0254828557418861,0.114517144258114
"ambiversion_power","grant_ambivert",-0.14,3000,1000,0.25,TRUE,"unfolding_midrange","Unfolding ideal-point (midrange tau = 0)","unfolding_midrange",0.06,0.94,NA,-0.00757967246827582,0.132420327531724
"ambiversion_power","grant_ambivert",-0.14,3000,1000,0.5,TRUE,"unfolding_midrange","Unfolding ideal-point (midrange tau = 0)","unfolding_midrange",0.056,0.944,NA,-0.00352147254573307,0.136478527454267
"ambiversion_power","grant_ambivert",-0.14,5000,1000,0,TRUE,"unfolding_midrange","Unfolding ideal-point (midrange tau = 0)","unfolding_midrange",0.187,0.813,NA,-0.0266942846346494,0.113305715365351
"ambiversion_power","grant_ambivert",-0.14,5000,1000,0.25,TRUE,"unfolding_midrange","Unfolding ideal-point (midrange tau = 0)","unfolding_midrange",0.085,0.915,NA,-0.0066659451833718,0.133334054816628
"ambiversion_power","grant_ambivert",-0.14,5000,1000,0.5,TRUE,"unfolding_midrange","Unfolding ideal-point (midrange tau = 0)","unfolding_midrange",0.067,0.933,NA,-0.00313290551824431,0.136867094481756
"ambiversion_power","grant_ambivert",-0.14,340,1000,0,TRUE,"unfolding_spread","Unfolding ideal-point (spread around ambivert zone)","unfolding_spread",0.058,0.942,NA,-0.0199762750937954,0.120023724906205
"ambiversion_power","grant_ambivert",-0.14,340,1000,0.25,TRUE,"unfolding_spread","Unfolding ideal-point (spread around ambivert zone)","unfolding_spread",0.07,0.93,NA,-0.00871708321695259,0.131282916783047
"ambiversion_power","grant_ambivert",-0.14,340,1000,0.5,TRUE,"unfolding_spread","Unfolding ideal-point (spread around ambivert zone)","unfolding_spread",0.044,0.956,NA,-0.00270690629801179,0.137293093701988
"ambiversion_power","grant_ambivert",-0.14,500,1000,0,TRUE,"unfolding_spread","Unfolding ideal-point (spread around ambivert zone)","unfolding_spread",0.051,0.949,NA,-0.0226877027689307,0.117312297231069
"ambiversion_power","grant_ambivert",-0.14,500,1000,0.25,TRUE,"unfolding_spread","Unfolding ideal-point (spread around ambivert zone)","unfolding_spread",0.038,0.962,NA,-0.00458338023737598,0.135416619762624
"ambiversion_power","grant_ambivert",-0.14,500,1000,0.5,TRUE,"unfolding_spread","Unfolding ideal-point (spread around ambivert zone)","unfolding_spread",0.054,0.946,NA,-0.00223740565125303,0.137762594348747
"ambiversion_power","grant_ambivert",-0.14,750,1000,0,TRUE,"unfolding_spread","Unfolding ideal-point (spread around ambivert zone)","unfolding_spread",0.056,0.944,NA,-0.0204244921353935,0.119575507864607
"ambiversion_power","grant_ambivert",-0.14,750,1000,0.25,TRUE,"unfolding_spread","Unfolding ideal-point (spread around ambivert zone)","unfolding_spread",0.049,0.951,NA,-0.00486984677282394,0.135130153227176
"ambiversion_power","grant_ambivert",-0.14,750,1000,0.5,TRUE,"unfolding_spread","Unfolding ideal-point (spread around ambivert zone)","unfolding_spread",0.048,0.952,NA,-0.00392105064028746,0.136078949359713
"ambiversion_power","grant_ambivert",-0.14,1000,1000,0,TRUE,"unfolding_spread","Unfolding ideal-point (spread around ambivert zone)","unfolding_spread",0.067,0.933,NA,-0.0248052064104403,0.11519479358956
"ambiversion_power","grant_ambivert",-0.14,1000,1000,0.25,TRUE,"unfolding_spread","Unfolding ideal-point (spread around ambivert zone)","unfolding_spread",0.055,0.945,NA,-0.00616726685843895,0.133832733141561
"ambiversion_power","grant_ambivert",-0.14,1000,1000,0.5,TRUE,"unfolding_spread","Unfolding ideal-point (spread around ambivert zone)","unfolding_spread",0.059,0.941,NA,-0.00269478075163074,0.137305219248369
"ambiversion_power","grant_ambivert",-0.14,1500,1000,0,TRUE,"unfolding_spread","Unfolding ideal-point (spread around ambivert zone)","unfolding_spread",0.063,0.937,NA,-0.023082436967411,0.116917563032589
"ambiversion_power","grant_ambivert",-0.14,1500,1000,0.25,TRUE,"unfolding_spread","Unfolding ideal-point (spread around ambivert zone)","unfolding_spread",0.053,0.947,NA,-0.0046328634059656,0.135367136594034
"ambiversion_power","grant_ambivert",-0.14,1500,1000,0.5,TRUE,"unfolding_spread","Unfolding ideal-point (spread around ambivert zone)","unfolding_spread",0.051,0.949,NA,-0.00278161421428965,0.13721838578571
"ambiversion_power","grant_ambivert",-0.14,2000,1000,0,TRUE,"unfolding_spread","Unfolding ideal-point (spread around ambivert zone)","unfolding_spread",0.077,0.923,NA,-0.0230522314649891,0.116947768535011
"ambiversion_power","grant_ambivert",-0.14,2000,1000,0.25,TRUE,"unfolding_spread","Unfolding ideal-point (spread around ambivert zone)","unfolding_spread",0.056,0.944,NA,-0.00624946055795787,0.133750539442042
