"scenario","scenario_label","true_b2","true_b5","optimal_x","n","n_reps","cmv_prop","same_source","rho_m_x","rho_m_y","rho_m_w","asymmetric","measurement_profile","prop_sig_X2_tmgt","prop_sig_X2W_tmgt","prop_sig_X2_quadratic","mean_b_X2_tmgt","mean_b_X2W_tmgt","type1_rate_X2","type2_rate_X2","type1_rate_X2W","type2_rate_X2W","power_X2","mean_r2_tmgt","mean_r2_linear"
"null_tmgt","Null TMGT (linear only)",0,0,NA,340,1000,0,TRUE,0.3,0.3,0.3,FALSE,"default",0.042,0.068,0.042,-0.00182896527285647,-0.00113116508254698,0.042,NA,0.068,NA,NA,0.135610782990152,0.130307521537177
"null_tmgt","Null TMGT (linear only)",0,0,NA,340,1000,0.25,TRUE,0.3,0.3,0.3,FALSE,"default",0.057,0.043,0.051,0.000757485306382168,0.000478364295012255,0.057,NA,0.043,NA,NA,0.0950484763483319,0.0896812308824603
"null_tmgt","Null TMGT (linear only)",0,0,NA,340,1000,0.5,TRUE,0.3,0.3,0.3,FALSE,"default",0.041,0.053,0.042,0.000797752997390448,0.00101815589931725,0.041,NA,0.053,NA,NA,0.0623794955599235,0.0567995933134086
"null_tmgt","Null TMGT (linear only)",0,0,NA,340,1000,0,FALSE,0.3,0.3,0.3,FALSE,"default",0.054,0.043,0.046,0.000350606683688983,-0.00148698414733082,0.054,NA,0.043,NA,NA,0.135497503419557,0.13048275932382
"null_tmgt","Null TMGT (linear only)",0,0,NA,340,1000,0.25,FALSE,0.3,0.3,0.3,FALSE,"default",0.048,0.042,0.047,0.00244683509875586,0.00130335824170947,0.048,NA,0.042,NA,NA,0.0803875934003042,0.0750299533694932
"null_tmgt","Null TMGT (linear only)",0,0,NA,340,1000,0.5,FALSE,0.3,0.3,0.3,FALSE,"default",0.044,0.05,0.046,0.00527946484493024,-0.00169014945207266,0.044,NA,0.05,NA,NA,0.0420482926461138,0.0363155896744139
"null_tmgt","Null TMGT (linear only)",0,0,NA,340,1000,0.25,TRUE,0.3,0,0,TRUE,"default",0.04,0.052,0.042,0.0033386720227669,-0.000258818365311297,0.04,NA,0.052,NA,NA,0.079483463648465,0.0739138636800774
"null_tmgt","Null TMGT (linear only)",0,0,NA,340,1000,0.25,TRUE,0.3,0.1,0,TRUE,"default",0.055,0.053,0.059,0.00553243548702824,-0.00170754087858154,0.055,NA,0.053,NA,NA,0.0826359688438947,0.0769455355967481
"null_tmgt","Null TMGT (linear only)",0,0,NA,340,1000,0.5,TRUE,0.3,0,0,TRUE,"default",0.05,0.053,0.047,0.00234294328415831,-0.000389087266858791,0.05,NA,0.053,NA,NA,0.0412255074640554,0.0353369660248271
"simple_tmgt","Simple TMGT (inverted-U)",-0.15,0,1.33333333333333,200,1000,0,TRUE,0,0,0,FALSE,"default",0.688,0.051,0.704,-0.135390838880742,0.00125528204037937,NA,0.312,0.051,NA,0.688,0.161688814415681,0.125567265954513
"simple_tmgt","Simple TMGT (inverted-U)",-0.15,0,1.33333333333333,200,1000,0.25,TRUE,0,0,0,FALSE,"default",0.316,0.058,0.325,-0.081111403379802,-0.00413949116341969,NA,0.684,0.058,NA,0.316,0.0943758295820446,0.0740101247081862
"simple_tmgt","Simple TMGT (inverted-U)",-0.15,0,1.33333333333333,200,1000,0.5,TRUE,0,0,0,FALSE,"default",0.115,0.048,0.121,-0.0408473389542559,-0.000892534824567114,NA,0.885,0.048,NA,0.115,0.0519247770625423,0.0392710262669144
"simple_tmgt","Simple TMGT (inverted-U)",-0.15,0,1.33333333333333,200,1000,0,FALSE,0,0,0,FALSE,"default",0.667,0.043,0.688,-0.135347601365685,-0.000803582491623046,NA,0.333,0.043,NA,0.667,0.16354823927657,0.127950444358896
"simple_tmgt","Simple TMGT (inverted-U)",-0.15,0,1.33333333333333,200,1000,0.25,FALSE,0,0,0,FALSE,"default",0.286,0.055,0.305,-0.0799693075171354,0.00256488586790503,NA,0.714,0.055,NA,0.286,0.0944852297011523,0.0747655932049196
"simple_tmgt","Simple TMGT (inverted-U)",-0.15,0,1.33333333333333,200,1000,0.5,FALSE,0,0,0,FALSE,"default",0.119,0.051,0.122,-0.0426370558469807,-0.000662081198828167,NA,0.881,0.051,NA,0.119,0.0522973262473652,0.0392003746419211
"simple_tmgt","Simple TMGT (inverted-U)",-0.15,0,1.33333333333333,200,1000,0,TRUE,0.3,0.3,0.3,FALSE,"default",0.679,0.039,0.697,-0.136033529330216,0.000284292200951029,NA,0.321,0.039,NA,0.679,0.164311119838608,0.128387352114203
"simple_tmgt","Simple TMGT (inverted-U)",-0.15,0,1.33333333333333,200,1000,0.25,TRUE,0.3,0.3,0.3,FALSE,"default",0.289,0.04,0.295,-0.0759660463888495,-0.00216685664838254,NA,0.711,0.04,NA,0.289,0.103263581228542,0.0848725326241624
"simple_tmgt","Simple TMGT (inverted-U)",-0.15,0,1.33333333333333,200,1000,0.5,TRUE,0.3,0.3,0.3,FALSE,"default",0.124,0.058,0.123,-0.039886594870744,0.000523479106301376,NA,0.876,0.058,NA,0.124,0.0712152097670674,0.0583517176555511
"simple_tmgt","Simple TMGT (inverted-U)",-0.15,0,1.33333333333333,200,1000,0,FALSE,0.3,0.3,0.3,FALSE,"default",0.676,0.057,0.696,-0.136236775066048,0.00397617346417127,NA,0.324,0.057,NA,0.676,0.166337727137149,0.129470520459225
"simple_tmgt","Simple TMGT (inverted-U)",-0.15,0,1.33333333333333,200,1000,0.25,FALSE,0.3,0.3,0.3,FALSE,"default",0.299,0.055,0.323,-0.0828698258482624,0.00140965539916381,NA,0.701,0.055,NA,0.299,0.0952180800027882,0.0743824597942148
"simple_tmgt","Simple TMGT (inverted-U)",-0.15,0,1.33333333333333,200,1000,0.5,FALSE,0.3,0.3,0.3,FALSE,"default",0.101,0.061,0.113,-0.0397318295204135,-0.000909007803866552,NA,0.899,0.061,NA,0.101,0.0532039069985695,0.0403281721074443
"simple_tmgt","Simple TMGT (inverted-U)",-0.15,0,1.33333333333333,200,1000,0.25,TRUE,0.3,0,0,TRUE,"default",0.318,0.068,0.328,-0.0800149844833539,0.000561705246348888,NA,0.682,0.068,NA,0.318,0.0960244057113781,0.0757052458433262
"simple_tmgt","Simple TMGT (inverted-U)",-0.15,0,1.33333333333333,200,1000,0.25,TRUE,0.3,0.1,0,TRUE,"default",0.312,0.056,0.318,-0.0813492134500833,-0.000801411131021147,NA,0.688,0.056,NA,0.312,0.0974726905396946,0.0775001383317948
"simple_tmgt","Simple TMGT (inverted-U)",-0.15,0,1.33333333333333,200,1000,0.5,TRUE,0.3,0,0,TRUE,"default",0.109,0.059,0.114,-0.041184453308982,0.000746284611711456,NA,0.891,0.059,NA,0.109,0.0524722777289524,0.0396192106430153
"simple_tmgt","Simple TMGT (inverted-U)",-0.15,0,1.33333333333333,340,1000,0,TRUE,0,0,0,FALSE,"default",0.895,0.051,0.9,-0.136302274905822,6.87630908317014e-05,NA,0.105,0.051,NA,0.895,0.156728363857138,0.123220726186111
"simple_tmgt","Simple TMGT (inverted-U)",-0.15,0,1.33333333333333,340,1000,0.25,TRUE,0,0,0,FALSE,"default",0.46,0.052,0.484,-0.0795604969546861,-0.000520956934599452,NA,0.54,0.052,NA,0.46,0.0863054365281919,0.0702052753603001
"simple_tmgt","Simple TMGT (inverted-U)",-0.15,0,1.33333333333333,340,1000,0.5,TRUE,0,0,0,FALSE,"default",0.156,0.048,0.16,-0.0387553721771689,0.00232054095329247,NA,0.844,0.048,NA,0.156,0.0417163524260163,0.0331933652068326
"simple_tmgt","Simple TMGT (inverted-U)",-0.15,0,1.33333333333333,340,1000,0,FALSE,0,0,0,FALSE,"default",0.902,0.051,0.906,-0.139632853277893,-0.00146093407593798,NA,0.098,0.051,NA,0.902,0.157636833486643,0.123067819508781
"simple_tmgt","Simple TMGT (inverted-U)",-0.15,0,1.33333333333333,340,1000,0.25,FALSE,0,0,0,FALSE,"default",0.508,0.057,0.523,-0.0833256864038969,-0.00198253784649404,NA,0.492,0.057,NA,0.508,0.0853973690918307,0.0685469135714123
"simple_tmgt","Simple TMGT (inverted-U)",-0.15,0,1.33333333333333,340,1000,0.5,FALSE,0,0,0,FALSE,"default",0.155,0.045,0.16,-0.0394002128053396,-0.000903614332111631,NA,0.845,0.045,NA,0.155,0.0417806346830804,0.0333443690984819
