"","Condition","PP","OCBI","OCBO","IRB"
"104","CSManipulation",4.1,4.14285714285714,3.85714285714286,4.14285714285714
"105","FillerScales",3.8,4.14285714285714,3.71428571428571,4.28571428571429
"106","CSManipulation",3.2,3.28571428571429,3.14285714285714,3.42857142857143
"107","ItemRand",4.1,4.14285714285714,3.14285714285714,4
"108","CSManipulation",4.5,4.42857142857143,3.85714285714286,4
"109","FillerScales",3.3,4.42857142857143,4.57142857142857,5
"110","ScaleRand",3.2,3.85714285714286,3.85714285714286,4
"111","ItemRand",3.9,3.71428571428571,4.28571428571429,3.71428571428571
"112","ItemRand",4.3,4.14285714285714,4.71428571428571,5
"113","CSManipulation",3.6,3.85714285714286,4.28571428571429,4.57142857142857
"114","Control",3.9,4.42857142857143,4.42857142857143,4.71428571428571
"115","ItemRand",5,3,4,5
"116","ScaleRand",4.1,4,4.28571428571429,5
"117","FillerScales",4,4.28571428571429,4.28571428571429,4.28571428571429
"118","ScaleRand",3.7,3.85714285714286,3.85714285714286,4
"119","Control",2.3,3.42857142857143,3.71428571428571,4
"120","Control",3.9,4.42857142857143,4,4.42857142857143
"121","ScaleRand",4.1,4.42857142857143,4.85714285714286,5
"122","FillerScales",3.9,4.42857142857143,4.57142857142857,5
"123","FillerScales",3.9,3.57142857142857,3.71428571428571,4
"124","Control",3.3,4.42857142857143,4.42857142857143,4.57142857142857
"125","FillerScales",4.3,4.57142857142857,4.71428571428571,5
"126","ItemRand",3.8,4,3.57142857142857,3.85714285714286
"127","Control",4.8,4,4.42857142857143,5
"128","Control",5,5,5,5
"129","Control",4.3,4.71428571428571,4.42857142857143,4.71428571428571
"130","CSManipulation",4.1,4,2.85714285714286,3.14285714285714
"131","ItemRand",4.4,5,4.85714285714286,4.42857142857143
"132","FillerScales",3.9,3.85714285714286,3.71428571428571,4.57142857142857
"133","FillerScales",3.9,3.71428571428571,3.71428571428571,4
"134","ScaleRand",3.5,3.71428571428571,4,4.28571428571429
"135","ItemRand",4.3,3.71428571428571,4.42857142857143,4.42857142857143
"136","FillerScales",5,3,3.42857142857143,4
"137","FillerScales",3.5,4,4,3.85714285714286
"138","Control",2.9,3.71428571428571,4,4
"139","ItemRand",3.9,3.14285714285714,4.14285714285714,4.57142857142857
"140","FillerScales",3.5,3.85714285714286,3.85714285714286,3.85714285714286
"141","ItemRand",3.3,3.42857142857143,3.85714285714286,4
"142","CSManipulation",3.8,4.42857142857143,3.57142857142857,4.28571428571429
"143","ScaleRand",3.9,4,4,3.85714285714286
"144","ItemRand",4.3,4.14285714285714,4.42857142857143,3.85714285714286
"145","Control",3.7,4,4,3.71428571428571
"146","Control",3.5,3.28571428571429,3.14285714285714,3.14285714285714
"147","CSManipulation",4.1,4,5,5
"148","Control",4.4,4.71428571428571,4.71428571428571,5
"149","ItemRand",4.1,3.71428571428571,3.42857142857143,4.14285714285714
"150","ItemRand",4,3.71428571428571,4,4.14285714285714
"151","Control",4,4,3.85714285714286,3.85714285714286
"152","Control",2.8,4.71428571428571,4.71428571428571,4.85714285714286
"153","FillerScales",4.1,3.85714285714286,4,3.85714285714286
"154","FillerScales",4.1,3.85714285714286,4.28571428571429,4.85714285714286
"155","FillerScales",3.8,4.71428571428571,4.57142857142857,4.71428571428571
"156","FillerScales",4.5,3.85714285714286,3.85714285714286,4.71428571428571
"157","ItemRand",4.8,4.57142857142857,4.42857142857143,4.71428571428571
"158","ItemRand",3.2,3.57142857142857,3.85714285714286,4.71428571428571
"159","CSManipulation",4.1,3.57142857142857,3.85714285714286,4
"160","Control",3.9,3.42857142857143,4,4
"161","ItemRand",3.3,2.42857142857143,4,4.42857142857143
"162","ScaleRand",4,3.85714285714286,3.85714285714286,4
"163","ItemRand",4.2,4.57142857142857,5,5
"164","ScaleRand",3.9,3.14285714285714,4.14285714285714,4.28571428571429
"165","FillerScales",3,3,3.57142857142857,3.14285714285714
"166","ScaleRand",3.8,4,3.71428571428571,4
"167","Control",3.3,3.28571428571429,4.14285714285714,4.57142857142857
"168","ItemRand",3.9,3.57142857142857,4.42857142857143,4
"169","CSManipulation",5,5,3.85714285714286,5
"170","FillerScales",4,4,4,4.14285714285714
"171","FillerScales",3.8,4.28571428571429,4.57142857142857,4.57142857142857
"172","ItemRand",3.3,3,3.28571428571429,3.85714285714286
"173","Control",4,4,4.28571428571429,4.14285714285714
"174","ScaleRand",4.7,3.85714285714286,4.85714285714286,5
"175","FillerScales",3.7,3.85714285714286,3.42857142857143,3.57142857142857
"176","CSManipulation",3.1,3.28571428571429,2.85714285714286,3.28571428571429
"177","Control",3.4,4,3.57142857142857,4
"178","Control",4.6,4.14285714285714,4.28571428571429,4.14285714285714
"179","Control",4.1,4.14285714285714,4.85714285714286,5
"180","CSManipulation",3.9,3.71428571428571,4,4
"181","CSManipulation",3.9,5,4.85714285714286,5
"182","ItemRand",3,3.42857142857143,4,3.85714285714286
"183","Control",4,4.28571428571429,3.28571428571429,3
"184","FillerScales",4,4.71428571428571,4.85714285714286,5
"185","Control",3.9,4.14285714285714,4.28571428571429,4.71428571428571
"186","FillerScales",3.1,3.71428571428571,3.85714285714286,4.28571428571429
"187","FillerScales",4,5,4.57142857142857,5
"188","ItemRand",4.1,4.57142857142857,4.42857142857143,5
"189","FillerScales",3.4,4,4.14285714285714,4.28571428571429
"190","CSManipulation",4.1,3.14285714285714,3.85714285714286,4.85714285714286
"191","ItemRand",4.3,4.71428571428571,4.85714285714286,5
"192","FillerScales",2.9,4.85714285714286,4,4.57142857142857
"193","ScaleRand",4.6,4,4.14285714285714,4.14285714285714
"194","ItemRand",4.6,5,5,5
"195","ScaleRand",3,3.85714285714286,4.28571428571429,4.85714285714286
"196","Control",3.8,4.14285714285714,4,3.42857142857143
"197","FillerScales",3.9,3.71428571428571,3.85714285714286,4.28571428571429
"198","ScaleRand",4,3.57142857142857,3.71428571428571,4.28571428571429
"199","CSManipulation",3.5,3.85714285714286,3.57142857142857,4.14285714285714
"200","ScaleRand",4.1,4.42857142857143,4.85714285714286,4.85714285714286
"201","ItemRand",4,4.57142857142857,4.57142857142857,4.85714285714286
"202","ScaleRand",4.4,4.28571428571429,4.57142857142857,4.85714285714286
"203","FillerScales",4.3,5,4.85714285714286,5
"204","Control",3.1,3.85714285714286,4.57142857142857,4.85714285714286
"205","CSManipulation",3.3,2.71428571428571,4.85714285714286,4.28571428571429
"206","FillerScales",3.3,3.42857142857143,3.85714285714286,3.42857142857143
"207","CSManipulation",4.6,4.42857142857143,4.71428571428571,5
"208","FillerScales",3.1,5,4.57142857142857,4.42857142857143
"209","ScaleRand",2,3.14285714285714,3.85714285714286,4.57142857142857
"210","ScaleRand",4.4,4,4.28571428571429,4.85714285714286
"211","FillerScales",3.5,4,4,4
"212","Control",3.6,4.14285714285714,4.42857142857143,4.28571428571429
"213","Control",2,1,4.71428571428571,5
"214","ScaleRand",3.6,3.71428571428571,4.85714285714286,5
"215","CSManipulation",3.6,4,4.85714285714286,5
"216","ScaleRand",3,2.28571428571429,2.85714285714286,3.14285714285714
"217","ItemRand",3.1,3.71428571428571,3.57142857142857,3.14285714285714
"218","CSManipulation",3.8,3.57142857142857,4.14285714285714,4.28571428571429
"219","FillerScales",3.9,3.14285714285714,3.28571428571429,3.85714285714286
"220","ItemRand",4.5,3.57142857142857,3.57142857142857,3.57142857142857
"221","CSManipulation",3.6,2.57142857142857,3.28571428571429,3.14285714285714
"222","CSManipulation",4.2,4.85714285714286,4.85714285714286,4.71428571428571
"223","ItemRand",3.7,4.42857142857143,3.85714285714286,4.57142857142857
"224","CSManipulation",5,5,5,4.42857142857143
"225","Control",3.5,4.42857142857143,4.28571428571429,5
"226","ItemRand",4.3,4.28571428571429,4.57142857142857,4.85714285714286
"227","ItemRand",3.3,4.14285714285714,4.57142857142857,5
"228","FillerScales",3.8,3.71428571428571,3.85714285714286,4.28571428571429
"229","ItemRand",2,2.85714285714286,3.85714285714286,4
"230","ItemRand",3.1,3.57142857142857,4.14285714285714,4
"231","FillerScales",4.5,4.28571428571429,3,4.14285714285714
"232","ScaleRand",4.2,4.85714285714286,4.28571428571429,4.71428571428571
"233","FillerScales",4.3,4.85714285714286,5,5
"234","ItemRand",3.7,3.57142857142857,3.71428571428571,4.28571428571429
"235","ScaleRand",3.4,2.85714285714286,3.28571428571429,3.42857142857143
"236","ItemRand",4,4.28571428571429,5,5
"237","Control",4.5,3.85714285714286,4.57142857142857,4.42857142857143
"238","ItemRand",4.1,4,4.42857142857143,4.42857142857143
"239","Control",2.1,3.85714285714286,3.85714285714286,4.85714285714286
"240","ItemRand",3.1,2.57142857142857,3.85714285714286,4.28571428571429
"241","ItemRand",4.2,3.28571428571429,4.14285714285714,4.57142857142857
"242","FillerScales",3.7,4.14285714285714,3.28571428571429,3.71428571428571
"243","ScaleRand",3.9,3.85714285714286,3.14285714285714,4
"244","ScaleRand",3.7,3.71428571428571,3.42857142857143,4
"245","CSManipulation",4.1,4.14285714285714,3.71428571428571,4
"246","CSManipulation",2.9,3.42857142857143,4.14285714285714,4
"247","Control",3.6,4,3.71428571428571,3.71428571428571
"248","Control",3.5,3.85714285714286,3.85714285714286,4.85714285714286
"249","Control",3.8,4,4,4
"250","CSManipulation",4.7,4.71428571428571,4.57142857142857,4.85714285714286
"251","ScaleRand",3,4,4,5
"252","CSManipulation",3.5,4.28571428571429,4.28571428571429,5
"253","CSManipulation",4.5,4.57142857142857,4.85714285714286,5
"254","Control",4.4,5,5,4.42857142857143
"255","ItemRand",4.5,3.85714285714286,4.71428571428571,3.85714285714286
"256","ItemRand",4.3,3.85714285714286,4.14285714285714,5
"257","CSManipulation",4.1,4,4.14285714285714,4.42857142857143
"258","ItemRand",4,4.71428571428571,4.71428571428571,4.28571428571429
"259","ScaleRand",3.9,4.14285714285714,4.71428571428571,5
"260","ScaleRand",3.9,4.42857142857143,4.57142857142857,5
"261","ScaleRand",4,4,3.57142857142857,4.28571428571429
"262","CSManipulation",3.3,4,4,3.71428571428571
"263","Control",5,4.14285714285714,5,5
"264","CSManipulation",3.7,3.71428571428571,3.57142857142857,3.28571428571429
"265","FillerScales",4.5,4,4.28571428571429,4.28571428571429
"266","CSManipulation",3,3.28571428571429,2.28571428571429,3
"267","ScaleRand",4,4.42857142857143,4.42857142857143,4.14285714285714
"268","ItemRand",3.6,3.28571428571429,4,4.28571428571429
"269","CSManipulation",3.4,4,4,4
"270","ItemRand",4.1,5,4.42857142857143,4.85714285714286
"271","Control",3,3.85714285714286,3.71428571428571,3.71428571428571
"272","CSManipulation",2.7,3.14285714285714,3.28571428571429,3
"273","ItemRand",3.7,4.28571428571429,4,4.85714285714286
"274","CSManipulation",3.6,3.57142857142857,3.71428571428571,4
"275","FillerScales",3.5,3.85714285714286,4.57142857142857,4.71428571428571
"276","Control",4.9,5,4.85714285714286,5
"277","Control",5,5,5,5
"278","FillerScales",4,3.71428571428571,3.14285714285714,3.42857142857143
"279","CSManipulation",4.3,4.42857142857143,3.71428571428571,3.71428571428571
"280","ScaleRand",4.7,4.14285714285714,5,4.57142857142857
"281","Control",1.6,1.14285714285714,2.28571428571429,3.57142857142857
"282","FillerScales",2.7,3,3,3
"283","CSManipulation",4,4.71428571428571,4.71428571428571,5
"284","CSManipulation",3.9,3.85714285714286,3.71428571428571,4
"285","Control",2.8,3.71428571428571,4,4
"286","CSManipulation",3.6,4.85714285714286,4.57142857142857,5
"287","ScaleRand",3.1,3.14285714285714,3.85714285714286,4.71428571428571
"288","ItemRand",3.7,4.14285714285714,3.42857142857143,4.14285714285714
"289","FillerScales",4.2,2.57142857142857,4.57142857142857,4.85714285714286
"290","FillerScales",2.7,4.14285714285714,3,4
"291","ScaleRand",3.7,3.71428571428571,4.28571428571429,4.42857142857143
"292","Control",2.4,4,4,4
"293","CSManipulation",4,5,4.28571428571429,4.71428571428571
"294","CSManipulation",3.3,3.85714285714286,4.14285714285714,4
"295","Control",3.1,3.14285714285714,3,3
"296","ScaleRand",3.5,4,4.14285714285714,4.71428571428571
"297","Control",4,4,4.28571428571429,4
"298","Control",3.5,5,4.57142857142857,5
"299","ItemRand",4,4,4,3.85714285714286
"300","FillerScales",4,4,4.14285714285714,4.28571428571429
"301","CSManipulation",4.4,5,4.85714285714286,4.71428571428571
"302","Control",3.8,3.28571428571429,3.85714285714286,3.71428571428571
"303","Control",4.6,4.28571428571429,4.57142857142857,5
"304","Control",4,4,3.57142857142857,4
"305","ScaleRand",4.1,3.85714285714286,3.71428571428571,4
"306","ScaleRand",4.1,4.14285714285714,4.85714285714286,5
"307","ItemRand",3.8,3.14285714285714,3.85714285714286,3.85714285714286
"308","ItemRand",2.9,3,3.85714285714286,3.85714285714286
"309","ItemRand",4.3,4.71428571428571,4.28571428571429,4.42857142857143
"310","ItemRand",4.6,4.42857142857143,5,4.85714285714286
"311","FillerScales",3.5,3.85714285714286,5,4.85714285714286
"312","ScaleRand",4.6,4.71428571428571,4.14285714285714,4.71428571428571
"313","CSManipulation",5,5,5,5
"314","Control",3.2,3.71428571428571,4.14285714285714,4.57142857142857
"315","ScaleRand",4,3.71428571428571,4.42857142857143,4.71428571428571
"316","CSManipulation",3.5,3.57142857142857,4.28571428571429,4.14285714285714
"317","CSManipulation",4.9,4.14285714285714,4.28571428571429,4.57142857142857
"318","FillerScales",4.2,4,3.85714285714286,4.71428571428571
"319","Control",4.3,4.14285714285714,4.42857142857143,4.57142857142857
"320","ScaleRand",2,3,2.85714285714286,2.14285714285714
"321","ItemRand",4.2,4.28571428571429,3.71428571428571,4.85714285714286
"322","CSManipulation",3.7,4.28571428571429,4.71428571428571,5
"323","CSManipulation",2.9,3,3,3.14285714285714
"324","CSManipulation",4.3,4.42857142857143,4,4.57142857142857
"325","ItemRand",4.4,3.28571428571429,3.85714285714286,4.57142857142857
"326","FillerScales",3.9,3.85714285714286,4.28571428571429,4.28571428571429
"327","Control",3.3,4,3.71428571428571,4
"328","ScaleRand",2.8,3.14285714285714,2.85714285714286,3.14285714285714
